id,g1_symbol,g2_symbol,conn
0,A1BG,GP6,0.19195872000656014
1,A1BG,IGSF1,0.19195872000656014
2,A1BG,KIR2DL3,0.19195872000656014
3,A1BG,KIR2DL4,0.19195872000656014
4,A1BG,KIR3DL2,0.19195872000656014
5,A1BG,KIR3DL3,0.19195872000656014
6,A1BG,LAIR1,0.19195872000656014
7,A1BG,LILRA2,0.19195872000656014
8,A1BG,LILRA3,0.19195872000656014
9,A1BG,LILRA4,0.19195872000656014
10,A1BG,LILRA5,0.19195872000656014
11,A1BG,LILRB1,0.19195872000656014
12,A1BG,LILRB2,0.19195872000656014
13,A1BG,LILRB3,0.19195872000656014
14,A1BG,LILRB4,0.19195872000656014
15,A1BG,LILRB5,0.19195872000656014
16,A1BG,OSCAR,0.19195872000656014
17,A1BG,TARM1,0.19195872000656014
18,A1BG,VSTM1,0.19195872000656014
100,A1CF,APOBEC1,0.49620609290338996
101,A1CF,APOBEC2,0.3839174400131203
102,A1CF,SYNCRIP,0.3839174400131203
103,A1CF,AICDA,0.3042473728968298
104,A1CF,HOXB-AS3,0.3042473728968298
105,A1CF,METTL3,0.3042473728968298
106,A1CF,PPARGC1A,0.3042473728968298
107,A1CF,WTAP,0.3042473728968298
108,A1CF,AFM,0.19195872000656014
109,A1CF,AHSP,0.19195872000656014
110,A1CF,ANK2,0.19195872000656014
111,A1CF,APOA2,0.19195872000656014
112,A1CF,APOBEC3A,0.19195872000656014
113,A1CF,APOBEC3B,0.19195872000656014
114,A1CF,APOBEC3C,0.19195872000656014
115,A1CF,APOBEC3G,0.19195872000656014
116,A1CF,APOBEC3H,0.19195872000656014
117,A1CF,APOBEC4,0.19195872000656014
118,A1CF,ARGLU1,0.19195872000656014
119,A1CF,ARMC7,0.19195872000656014
120,A1CF,ARVCF,0.19195872000656014
121,A1CF,ATP1B2,0.19195872000656014
122,A1CF,ATP1B3,0.19195872000656014
123,A1CF,BAG1,0.19195872000656014
124,A1CF,BAG4,0.19195872000656014
125,A1CF,BAG5,0.19195872000656014
126,A1CF,BAG6,0.19195872000656014
127,A1CF,BRDT,0.19195872000656014
128,A1CF,BRINP1,0.19195872000656014
129,A1CF,C1QBP,0.19195872000656014
130,A1CF,CALCA,0.19195872000656014
131,A1CF,CBLC,0.19195872000656014
132,A1CF,CCNH,0.19195872000656014
133,A1CF,CCT2,0.19195872000656014
134,A1CF,CCT4,0.19195872000656014
135,A1CF,CCT5,0.19195872000656014
136,A1CF,CCT6A,0.19195872000656014
137,A1CF,CCT7,0.19195872000656014
138,A1CF,CD74,0.19195872000656014
139,A1CF,CDC37,0.19195872000656014
140,A1CF,CDK12,0.19195872000656014
141,A1CF,CDKN2A,0.19195872000656014
142,A1CF,CELF1,0.19195872000656014
143,A1CF,CIR1,0.19195872000656014
144,A1CF,CLU,0.19195872000656014
145,A1CF,CPN2,0.19195872000656014
146,A1CF,CRTAP,0.19195872000656014
147,A1CF,CRYAA,0.19195872000656014
148,A1CF,CRYAB,0.19195872000656014
149,A1CF,CSDC2,0.19195872000656014
150,A1CF,CSN3,0.19195872000656014
151,A1CF,DHX15,0.19195872000656014
152,A1CF,DHX34,0.19195872000656014
153,A1CF,DNAJA3,0.19195872000656014
154,A1CF,DNAJB11,0.19195872000656014
155,A1CF,DSC3,0.19195872000656014
156,A1CF,DSG1,0.19195872000656014
157,A1CF,DUS3L,0.19195872000656014
158,A1CF,EMP2,0.19195872000656014
159,A1CF,EPO,0.19195872000656014
160,A1CF,ERN2,0.19195872000656014
161,A1CF,ESRP1,0.19195872000656014
162,A1CF,FBLN1,0.19195872000656014
163,A1CF,FLNA,0.19195872000656014
164,A1CF,FLOT1,0.19195872000656014
165,A1CF,FUT7,0.19195872000656014
166,A1CF,GAPDH,0.19195872000656014
167,A1CF,GOLGA7,0.19195872000656014
168,A1CF,GPIHBP1,0.19195872000656014
169,A1CF,GRN,0.19195872000656014
170,A1CF,GRSF1,0.19195872000656014
171,A1CF,HMX3,0.19195872000656014
172,A1CF,HNRNPA0,0.19195872000656014
173,A1CF,HNRNPA2B1,0.19195872000656014
174,A1CF,HNRNPL,0.19195872000656014
175,A1CF,HSP90AA1,0.19195872000656014
176,A1CF,HSPD1,0.19195872000656014
177,A1CF,IFI30,0.19195872000656014
178,A1CF,IGF1,0.19195872000656014
179,A1CF,IGFBP7,0.19195872000656014
180,A1CF,IL1B,0.19195872000656014
181,A1CF,ITGB3,0.19195872000656014
182,A1CF,JMJD6,0.19195872000656014
183,A1CF,KHDRBS1,0.19195872000656014
184,A1CF,KHDRBS3,0.19195872000656014
185,A1CF,LAMP2,0.19195872000656014
186,A1CF,LARP7,0.19195872000656014
187,A1CF,LGALS3,0.19195872000656014
188,A1CF,LIF,0.19195872000656014
189,A1CF,LSM1,0.19195872000656014
190,A1CF,LSM3,0.19195872000656014
191,A1CF,MBNL2,0.19195872000656014
192,A1CF,MEX3D,0.19195872000656014
193,A1CF,MFSD1,0.19195872000656014
194,A1CF,MSX1,0.19195872000656014
195,A1CF,MT3,0.19195872000656014
196,A1CF,MYCNOS,0.19195872000656014
197,A1CF,NAPG,0.19195872000656014
198,A1CF,NCLN,0.19195872000656014
199,A1CF,NONO,0.19195872000656014
300,A3GALT2,B4GALNT1,0.3042473728968298
301,A3GALT2,FUT1,0.3042473728968298
302,A3GALT2,FUT2,0.3042473728968298
303,A3GALT2,FUT9,0.3042473728968298
304,A3GALT2,GBGT1,0.3042473728968298
305,A3GALT2,GLT6D1,0.3042473728968298
306,A3GALT2,ST3GAL2,0.3042473728968298
307,A3GALT2,ST8SIA5,0.3042473728968298
308,A3GALT2,A4GNT,0.19195872000656014
309,A3GALT2,ADRB3,0.19195872000656014
310,A3GALT2,AKR1B1,0.19195872000656014
311,A3GALT2,AKR7A2,0.19195872000656014
312,A3GALT2,ALDH2,0.19195872000656014
313,A3GALT2,AMY1A,0.19195872000656014
314,A3GALT2,AMY1B,0.19195872000656014
315,A3GALT2,AMY1C,0.19195872000656014
316,A3GALT2,AMY2A,0.19195872000656014
317,A3GALT2,B3GALT1,0.19195872000656014
318,A3GALT2,B3GAT3,0.19195872000656014
319,A3GALT2,B4GALNT2,0.19195872000656014
320,A3GALT2,B4GALT2,0.19195872000656014
321,A3GALT2,B4GALT4,0.19195872000656014
322,A3GALT2,CHI3L2,0.19195872000656014
323,A3GALT2,CHST2,0.19195872000656014
324,A3GALT2,CHST3,0.19195872000656014
325,A3GALT2,CHST4,0.19195872000656014
326,A3GALT2,CHST5,0.19195872000656014
327,A3GALT2,CHST6,0.19195872000656014
328,A3GALT2,FUT5,0.19195872000656014
329,A3GALT2,FUT6,0.19195872000656014
330,A3GALT2,GAL3ST1,0.19195872000656014
331,A3GALT2,GALM,0.19195872000656014
332,A3GALT2,GANAB,0.19195872000656014
333,A3GALT2,GLB1,0.19195872000656014
334,A3GALT2,GNPDA2,0.19195872000656014
335,A3GALT2,GUSB,0.19195872000656014
336,A3GALT2,HYAL3,0.19195872000656014
337,A3GALT2,HYAL4,0.19195872000656014
338,A3GALT2,IDH2,0.19195872000656014
339,A3GALT2,IDH3G,0.19195872000656014
340,A3GALT2,LCTL,0.19195872000656014
341,A3GALT2,PGLS,0.19195872000656014
342,A3GALT2,PGM1,0.19195872000656014
343,A3GALT2,SLC2A2,0.19195872000656014
344,A3GALT2,SLC2A3,0.19195872000656014
345,A3GALT2,SLC2A4,0.19195872000656014
346,A3GALT2,SLC35A1,0.19195872000656014
347,A3GALT2,SPAM1,0.19195872000656014
348,A3GALT2,ST6GALNAC5,0.19195872000656014
349,A3GALT2,ST8SIA2,0.19195872000656014
350,A3GALT2,ST8SIA3,0.19195872000656014
351,A3GALT2,TALDO1,0.19195872000656014
352,A3GALT2,TFF1,0.19195872000656014
353,A3GALT2,TPD52L2,0.19195872000656014
354,A3GALT2,YDJC,0.19195872000656014
400,A4GNT,B3GNT6,0.3839174400131203
401,A4GNT,AR,0.3042473728968298
402,A4GNT,CHST4,0.3042473728968298
403,A4GNT,DRD2,0.3042473728968298
404,A4GNT,FUT5,0.3042473728968298
405,A4GNT,FUT9,0.3042473728968298
406,A4GNT,GALNT1,0.3042473728968298
407,A4GNT,GALNT13,0.3042473728968298
408,A4GNT,GALNT15,0.3042473728968298
409,A4GNT,GALNT5,0.3042473728968298
410,A4GNT,GALNT8,0.3042473728968298
411,A4GNT,GALNT9,0.3042473728968298
412,A4GNT,NKX2-8,0.3042473728968298
413,A4GNT,SAV1,0.3042473728968298
414,A4GNT,ST3GAL2,0.3042473728968298
415,A4GNT,STK3,0.3042473728968298
416,A4GNT,STK4,0.3042473728968298
417,A4GNT,TGFB1,0.3042473728968298
418,A4GNT,ADRB3,0.19195872000656014
419,A4GNT,AKR1B1,0.19195872000656014
420,A4GNT,AKR7A2,0.19195872000656014
421,A4GNT,ALDH2,0.19195872000656014
422,A4GNT,AMY1A,0.19195872000656014
423,A4GNT,AMY1B,0.19195872000656014
424,A4GNT,AMY1C,0.19195872000656014
425,A4GNT,AMY2A,0.19195872000656014
426,A4GNT,B3GALT1,0.19195872000656014
427,A4GNT,B3GALT5,0.19195872000656014
428,A4GNT,B3GAT3,0.19195872000656014
429,A4GNT,B4GALNT1,0.19195872000656014
430,A4GNT,B4GALT2,0.19195872000656014
431,A4GNT,B4GALT4,0.19195872000656014
432,A4GNT,BMP4,0.19195872000656014
