,g1_symbol,g2_symbol,conn
133215,GLUD2,SHMT2,0.2511404985285161
133945,GNAS,SHMT2,0.2511404985285161
135405,GOT1,SHMT2,0.2511404985285161
136833,GRK6,SHMT2,0.2511404985285161
137465,GRB2,SHMT2,0.6116250705376904
139667,GRSF1,SHMT2,0.9017230618690736
141566,GTF2A1,SHMT2,0.2511404985285161
141813,GTF2E2,SHMT2,0.2511404985285161
143849,H1-5,SHMT2,0.4201912082140011
144211,H2AC8,SHMT2,0.2511404985285161
146498,HADHA,SHMT2,0.4201912082140011
151365,HK1,SHMT2,0.4201912082140011
151899,HLA-B,SHMT2,0.5747820684033044
152995,HMGB2,SHMT2,0.2511404985285161
155287,HNRNPAB,SHMT2,0.2511404985285161
162432,PRMT1,SHMT2,0.2511404985285161
164276,HSPA4,SHMT2,0.2511404985285161
164703,HSPA5,SHMT2,0.2511404985285161
166283,HSPA9,SHMT2,0.2511404985285161
167492,HSP90AA1,SHMT2,0.4201912082140011
168352,HSP90AB1,SHMT2,0.4201912082140011
169031,HSPD1,SHMT2,0.4690145199989203
169603,HSPE1,SHMT2,0.4201912082140011
170815,MRPL58,SHMT2,0.7769673499859245
171279,IDE,SHMT2,0.4201912082140011
172480,IFNAR1,SHMT2,0.5790039657058368
172523,IFNGR1,SHMT2,0.2511404985285161
174499,IL18,SHMT2,0.2511404985285161
174732,ILF2,SHMT2,0.2511404985285161
175501,ILK,SHMT2,0.2511404985285161
178732,EIF6,SHMT2,0.5747820684033044
179114,ITPA,SHMT2,0.2511404985285161
179965,JUN,SHMT2,0.5747820684033044
189762,LDHB,SHMT2,0.4201912082140011
191620,LMNA,SHMT2,0.2511404985285161
198176,MBD1,SHMT2,0.2511404985285161
201100,MDH2,SHMT2,0.4690145199989203
201978,ME2,SHMT2,0.4201912082140011
202335,MEF2D,SHMT2,0.2511404985285161
202378,MEIS1,SHMT2,0.2511404985285161
202948,RAB8A,SHMT2,0.2511404985285161
204561,MGST3,SHMT2,0.4690145199989203
